temperature,time,synthesis_method,result,metal_ionenergy,metal_affinity,metal_radii,metal_electronegativity,metal_valence,n_carboxylate,n_N_donnor,n_phosphate,n_chelating,linker_MW,solvent_MW,modulator_MW,linker_metal_ratio,solvent_metal_ratio,modulator_metal_ratio,linker_MQNs1,linker_MQNs2,linker_MQNs3,linker_MQNs4,linker_MQNs5,linker_MQNs6,linker_MQNs7,linker_MQNs8,linker_MQNs9,linker_MQNs10,linker_MQNs11,linker_MQNs12,linker_MQNs13,linker_MQNs14,linker_MQNs15,linker_MQNs16,linker_MQNs17,linker_MQNs18,linker_MQNs19,linker_MQNs20,linker_MQNs21,linker_MQNs22,linker_MQNs23,linker_MQNs24,linker_MQNs25,linker_MQNs26,linker_MQNs27,linker_MQNs28,linker_MQNs29,linker_MQNs30,linker_MQNs31,linker_MQNs32,linker_MQNs33,linker_MQNs34,linker_MQNs35,linker_MQNs36,linker_MQNs37,linker_MQNs38,linker_MQNs39,linker_MQNs40,linker_MQNs41,linker_MQNs42,solvent_type1,solvent_type2,solvent_type3,solvent_type4,solvent_type5,solvent_type6,solvent_type7,solvent_type8,modulator_type1,modulator_type2,modulator_type3,modulator_type4,modulator_type5,modulator_type6,modulator_type7,modulator_type8
25.0,24.0,2,0,7.72638,1.235,135.0,1.9,2.0,2.0,2.0,0.0,0.0,168.017106608,20.62944573321039,80.09,1.0,9204.7795405,12.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0,10.0,6.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90697163,0.09302837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25.0,168.0,1,1,9.394199,-0.6,135.0,1.65,2.0,2.0,0.0,0.0,0.0,242.0579088,101.15,33.99385987244617,0.4939759036144578,1294.5583619277106,30.82939461204819,14.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,5.0,2.0,0.0,6.0,6.0,0.0,3.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99452877,0.0,0.0,0.0,0.00547123,0.0,0.0
25.0,168.0,1,1,9.394199,-0.6,135.0,1.65,2.0,2.0,0.0,0.0,0.0,216.042258736,101.15,33.91670652428751,0.4939759036144578,1294.5583619277106,61.49011452530121,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,4.0,2.0,0.0,6.0,5.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99725688,0.0,0.0,0.0,0.0,0.0,0.0
100.0,15.0,1,1,9.394199,-0.6,135.0,1.65,2.0,2.0,0.0,0.0,0.0,166.026608672,101.15,18.02,0.3340702490529672,73.48636453283034,10.944684714867703,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,168.0,0,1,7.4166796,0.35674316,180.0,1.8,2.0,2.0,0.0,0.0,0.0,166.026608672,48.16008299866921,34.01,0.9974907114267262,922.2127345745236,7.024181857686802,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.999999999999998,4.0,2.0,0.0,2.9999999999999996,2.9999999999999996,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07735318,0.0,0.92264682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,15.0,1,1,7.88101,0.66225646,135.0,1.88,2.0,2.0,0.0,0.0,0.0,166.026608672,66.36556331036654,,1.0079647313076925,125.17668110152584,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75113114,0.0,0.24886886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,50.0,1,1,8.993822,-0.7,155.0,1.69,2.0,2.0,0.0,0.0,0.0,166.026608672,44.641269341036185,31.06,2.00867261802322,494.0348354311904,97.79314809709804,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48340783,0.51659217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100.0,48.0,1,1,7.434018,-0.5,140.0,1.55,2.0,2.0,0.0,0.0,0.0,166.026608672,101.15,,0.3431421497017868,60.013826653727136,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,20.0,1,1,9.394199,-0.6,135.0,1.65,2.0,2.0,0.0,0.0,0.0,242.0579088,73.09,26.018755999977696,387.22694652019175,127498.54940961904,33900.59930341244,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,5.0,2.0,0.0,6.0,6.0,0.0,3.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80991549,0.19008451,0.0,0.0,0.0,0.0,0.0
85.0,15.0,1,1,5.8638,1.165,175.0,1.2,3.0,2.0,0.0,0.0,0.0,171.983029608,65.26244919325174,,0.2668587170886011,129.7676708017699,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,11.0,4.0,2.0,0.0,3.0,2.0,0.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39741718,0.0,0.60258282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24.0,1,1,5.8638,1.165,175.0,1.2,3.0,3.0000000000000004,0.0,0.0,0.0,210.016437912,34.00452094196507,,0.3452161525425247,1081.3350097516309,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000000000000001,0.0,15.0,6.000000000000001,3.0000000000000004,0.0,3.0000000000000004,3.0000000000000004,0.0,3.0000000000000004,12.000000000000002,6.000000000000001,3.0000000000000004,3.0000000000000004,0.0,0.0,6.000000000000001,0.0,3.0000000000000004,0.0,3.0000000000000004,3.0000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17328387,0.59706271,0.22965342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
