metal1,metal2,n_metal1,n_metal2,linker1,linker2,linker3,n_linker1,n_linker2,n_linker3,modulator1,modulator2,n_modulator1,n_modulator2,solvent1,solvent2,solvent3,n_solvent1,n_solvent2,n_solvent3,temperature,time,equip,result,linker1_smiles,linker2_smiles,linker3_smiles,linker1_carboxylate,linker2_carboxylate,linker3_carboxylate,linker1_N_donnor,linker2_N_donnor,linker3_N_donnor,linker1_phosphate,linker2_phosphate,linker3_phosphate,linker1_chelating,linker2_chelating,linker3_chelating,solvent1_smiles,solvent1_type,solvent1_mmol,solvent2_smiles,solvent2_type,solvent2_mmol,solvent3_smiles,solvent3_type,solvent3_mmol,modulator1_smiles,modulator1_type,modulator1_mmol,modulator2_smiles,modulator2_type,modulator2_mmol,linker1_MW,linker2_MW,linker3_MW,linker1_mol,linker2_mol,linker3_mol,metal1_mol,metal2_mol,solvent1_mol,solvent2_mol,solvent3_mol,modulator1_mol,modulator2_mol
Cu(ClO4)2·6H2O,,1 mmol,,Na2pzdc,,,1 mmol,,,pyz,,12.5 mmol,,H2O,EtOH,,150 mL,50 mL,,25.0,24.0,2,0,O=C(O)C1=NC=CN=C1C(=O)O,,,2.0,,,2.0,,,0.0,,,0.0,,,O,S,55.65649279,OCC,S,17.12611244,,,,N=1C=CN=CC1,B,12.8605319,,,,168.017106608,,,1.0,,,1.0,,8348.4739185,856.305622,,12.5,
Zn(NO3)2·6H2O,,0.083 mmol,,H2BPDC,,,0.041 mmol,,,30% H2O2,CH3NH2,0.2 mL,0.014 mmol,DEF,,,12 mL,,,25.0,168.0,1,1,O=C(O)C=1C=CC(=CC1)C2=CC=C(C=C2)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,OO,S,42.41399588,NC,B,21.32646491,242.0579088,,,0.041,,,0.083,,107.44834404,,,2.5448397528,0.014
Zn(NO3)2·6H2O,,0.083 mmol,,H2NDC,,,0.041 mmol,,,30% H2O2,CH3NH3,0.40 mL,0.014 mmol,DEF,,,12 mL,,,25.0,168.0,1,1,O=C(O)C=1C=CC2=CC(=CC=C2C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,OO,S,42.41399588,,,,216.042258736,,,0.041,,,0.083,,107.44834404,,,5.0896795056,0.014 mmol
Zn(NO3)2·6H2O,,177 mg,,"1,4-BDC",,,33.0 mg,,,H2O,,0.117 mL,,DEF,,,4.883 mL,,,100.0,15.0,1,1,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,O,S,55.65649279,,,,166.026608672,,,0.198763320313278,,,0.5949746224835599,,43.722521995609995,,,6.5118096564300005,
Pb(NO3)2,,60 mg,,H2BDC,,,30 mg,,,30% H2O2,,0.1 mL,,DMF,EtOH,,1 mL,9 mL,,25.0,168.0,0,1,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,OO,S,42.41399588,,,,166.026608672,,,0.1806939275575254,,,0.1811484813718978,,12.92242441,154.13501196,,1.2724198764,
Co(NO3)2·6H2O,,40 mg,,H2BDC,,,23 mg,,,,,,,DMF,EtOH,,1 mL,0.25 mL,,100.0,15.0,1,1,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,166.026608672,,,0.1385320111274361,,,0.1374373594874796,,12.92242441,4.28152811,,,
Cd(NO3)2·4H2O,,22.20 mg,,"H2-1,3-BDC",,,24 mg,,,CH3NH2,,0.33 mL,,DMF,H2O,,1.33 mL,0.33 mL,,140.0,50.0,1,1,O=C(O)C1=CC=CC(=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,O,S,55.65649279,,,,NC,B,21.32646491,,,,166.026608672,,,0.1445551420460203,,,0.0719655063493026,,17.1868244653,18.3666426207,,7.0377334202999995,
Mn(ClO4)2·6H2O,,108 mg,,H2BDC,,,17 mg,,,,,,,DEF,,,2.0 mL,,,100.0,48.0,1,1,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,166.026608672,,,0.1023932256159311,,,0.2983988580386221,,17.90805734,,,,
Zn(NO3)2·4H2O,,0.053 mg,,H2BPDC,,,0.019 g,,,2-propanol,H2O,0.1 mL,0.1 mL,DMF,,,2.0 mL,,,105.0,20.0,1,1,O=C(O)C=1C=CC(=CC1)C2=CC=C(C=C2)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,OC(C)C,S,13.06239601,O,S,55.65649279,242.0579088,,,0.0784936137562797,,,0.0002027070028614,,25.84484882,,,1.3062396010000001,5.5656492790000005
Tb(NO3)3·5H2O,,109 mg,,H2-TDC,,,11.5 mg,,,,,,,DMF,2-propanol,,1 mL,1.5 mL,,85.0,15.0,1,1,O=C(O)C=1SC(=CC1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OC(C)C,S,13.06239601,,,,,,,,,,171.983029608,,,0.0668670625596716,,,0.2505710260814554,,12.92242441,19.593594015,,,
Tb(NO3)3·5H2O,,0.120 g,,H3BTC,,,0.020 g,,,,,,,DMF,EtOH,H2O,4 mL,4 mL,3.2 mL,80.0,24.0,1,1,O=C(O)C=1C=C(C=C(C1)C(=O)O)C(=O)O,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,O,S,55.65649279,,,,,,,210.016437912,,,0.0952306409862084,,,0.275858010364905,,51.68969764,68.50444976,178.10077692800002,,
Zn(NO3)2·6H2O,,0.140 g,,H4ATC,,,0.048 g,,,,,,,H2O,,,4 mL,,,185.0,40.0,1,1,O=C(O)C12CC3(C(=O)O)CC(C(=O)O)(C1)CC(C(=O)O)(C2)C3,,,4.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,,,,,,,,,,,,,312.084517472,,,0.1538044898504345,,,0.4706013963146802,,222.62597116,,,,
Co(NO3)2·6H2O,,0.060 g,,H2HPDC,,,0.018 g,,,triethylamine,,0.005 mL,,DMF,EtOH,H2O,7 mL,2 mL,1 mL,85.0,24.0,1,1,O=C(O)C=1C=C2C=3C=4C(=CC(=CC4CCC3C1)C(=O)O)CC2,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,O,S,55.65649279,CCN(CC)CC,B,7.169680798,,,,294.089208928,,,0.0612059179784689,,,0.2061560392312194,,90.45697087,34.25222488,55.65649279,0.03584840399,
Cd(NO3)2·4H2O,,0.055 g,,H2HPDC,,,0.018 g,,,,,,,H2O,CH3OH,CHP,2 mL,3 mL,3 mL,130.0,20.0,1,1,O=C(O)C=1C=C2C=3C=4C(=CC(=CC4CCC3C1)C(=O)O)CC2,,,2.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,OC,S,25.28089888,O=C1N(CCC1)C2CCCCC2,S,0.059790732,,,,,,,294.089208928,,,0.0612059179784689,,,0.1782929211356597,,111.31298558,75.84269664,0.1793721959999999,,
Tb(NO3)3·5H2O,,0.056 g,,H2PDC,,,0.010 g,,,,,,,H2O,EtOH,DMF,2 mL,4 mL,4 mL,80.0,24.0,1,1,O=C(O)C1=CC2=CC=C3C=C(C=C4C=CC(=C1)C2=C34)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,OCC,S,17.12611244,O=CN(C)C,S,12.92242441,,,,,,,290.05790879999995,,,0.0344758742879001,,,0.128733738170289,,111.31298558,68.50444976,51.68969764,,
Cr(NO3)3·9H2O,,15 mmol,,H2BDC,,,23 mmol,,,40 % HF,,0.75 mL,,H2O,,,75 mL,,,220.0,9.0,1,0,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,,,,,,,F,A,49.52523738,,,,166.026608672,,,23.0,,,15.0,,4174.23695925,,,14.857571214,
Zn(NO3)2·4H2O,,31.824 mmol,,H2bdc,,,10.594 mmol,,,,,,,DEF,,,100 mL,,,100.0,20.0,1,1,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,166.026608672,,,10.594,,,31.824,,895.402867,,,,
Zn(NO3)2·4H2O,,14 g,,Terephthalic acid,,,3 g,,,,,,,DEF,,,300 mL,,,100.0,72.0,1,0,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,166.026608672,,,18.069392755752546,,,53.54524603887569,,2686.208601,,,,
