smiles,counts,metal,ionenergy,affinity,radii,pauling,valence,n_metal
(NH4)2Ce(NO3)6,12,Ce,5.5386,0.65,185.0,1.12,4,1
Al(ClO4)3,1,Al,5.9857684,0.43283,125.0,1.61,3,1
Al(NO3)3,11,Al,5.9857684,0.43283,125.0,1.61,3,1
Al2(SO4)3,6,Al,5.9857684,0.43283,125.0,1.61,3,2
AlCl3,19,Al,5.9857684,0.43283,125.0,1.61,3,1
AlF3,1,Al,5.9857684,0.43283,125.0,1.61,3,1
Bi(NO3)3,10,Bi,7.285516,0.942362,160.0,1.9,3,1
CaCl2,3,Ca,6.1131552,0.02455,180.0,1.0,2,1
Cd(CH3COO)2,10,Cd,8.993822,-0.7,155.0,1.69,2,1
Cd(ClO4)2,1,Cd,8.993822,-0.7,155.0,1.69,2,1
Cd(NO3)2,25,Cd,8.993822,-0.7,155.0,1.69,2,1
CdCl2,5,Cd,8.993822,-0.7,155.0,1.69,2,1
CdSO4,1,Cd,8.993822,-0.7,155.0,1.69,2,1
Ce(NH4)2(NO3)6,2,Ce,5.5386,0.65,185.0,1.12,4,1
Co(CH3COO)2,8,Co,7.88101,0.66225646,135.0,1.88,2,1
Co(ClO4)2,2,Co,7.88101,0.66225646,135.0,1.88,2,1
Co(NO3),5,Co,7.88101,0.66225646,135.0,1.88,1,1
Co(NO3)2,25,Co,7.88101,0.66225646,135.0,1.88,2,1
Co(O2CCMe3)2,1,Co,7.88101,0.66225646,135.0,1.88,2,1
CoCl2,4,Co,7.88101,0.66225646,135.0,1.88,2,1
Cr(NO3)3,1,Cr,6.76651,0.6659999999999999,140.0,1.66,3,1
CrCl3,1,Cr,6.76651,0.6659999999999999,140.0,1.66,3,1
CrO3,1,Cr,6.76651,0.6659999999999999,140.0,1.66,6,1
Cu(BF4)2,1,Cu,7.72638,1.235,135.0,1.9,2,1
Cu(CH3COO)2,1,Cu,7.72638,1.235,135.0,1.9,2,1
Cu(ClO4)2,2,Cu,7.72638,1.235,135.0,1.9,2,1
Cu(NH3)2OH,1,Cu,7.72638,1.235,135.0,1.9,1,1
Cu(NO3)2,33,Cu,7.72638,1.235,135.0,1.9,2,1
CuCl,1,Cu,7.72638,1.235,135.0,1.9,1,1
CuCl2,1,Cu,7.72638,1.235,135.0,1.9,2,1
CuI,1,Cu,7.72638,1.235,135.0,1.9,1,1
Dy(NO3)3,2,Dy,5.93905,0.35200000000000004,175.0,1.22,3,1
Er(NO3)3,5,Er,6.1077,0.312,175.0,1.24,3,1
Eu2(SO4)3,3,Eu,5.67038,0.864,180.0,1.2,3,2
Fe(NO3)3,2,Fe,7.9024678,0.151,140.0,1.83,3,1
Fe6O2(OH)2(O2CCMe3)12,2,Fe,7.9024678,0.151,140.0,1.83,3,6
FeBr2,1,Fe,7.9024678,0.151,140.0,1.83,2,1
FeCl2,2,Fe,7.9024678,0.151,140.0,1.83,2,1
FeCl3,3,Fe,7.9024678,0.151,140.0,1.83,3,1
FeSO4,1,Fe,7.9024678,0.151,140.0,1.83,2,1
Ga(NO3)3,12,Ga,5.9993018,0.43,130.0,1.81,3,1
HfCl4,9,Hf,6.82507,0.013999999999999999,155.0,1.3,4,1
HfOCl2,1,Hf,6.82507,0.013999999999999999,155.0,1.3,4,1
In(NO3)3,7,In,5.7863552,0.3,155.0,1.78,3,1
InBr3,1,In,5.7863552,0.3,155.0,1.78,3,1
InCl3,2,In,5.7863552,0.3,155.0,1.78,3,1
Lu(NO3)3,1,Lu,5.425871,0.34,175.0,1.0,3,1
Mg(CH3COO)2,4,Mg,7.646235,-0.4,150.0,1.31,2,1
Mg(NO3)2,8,Mg,7.646235,-0.4,150.0,1.31,2,1
MgBr2,1,Mg,7.646235,-0.4,150.0,1.31,2,1
MgCl2,1,Mg,7.646235,-0.4,150.0,1.31,2,1
Mn(CH3COO)2,1,Mn,7.434018,-0.5,140.0,1.55,2,1
Mn(ClO4)2,1,Mn,7.434018,-0.5,140.0,1.55,2,1
Mn(NO3)2,2,Mn,7.434018,-0.5,140.0,1.55,2,1
MnCl2,3,Mn,7.434018,-0.5,140.0,1.55,2,1
NaAlO2,1,Al,5.9857684,0.43283,125.0,1.61,3,1
Nd(NO3)3,1,Nd,5.525,1.916,185.0,1.14,3,1
Ni(CH3COO)2,2,Ni,7.639877,1.156,135.0,1.91,2,1
Ni(NO3)2,8,Ni,7.639877,1.156,135.0,1.91,2,1
NiCl2,1,Ni,7.639877,1.156,135.0,1.91,2,1
Pb(NO3)2,2,Pb,7.4166796,0.35674316,180.0,1.8,2,1
Sm(NO3)3,1,Sm,5.64371,0.162,185.0,1.17,3,1
Tb(NO3)3,9,Tb,5.8638,1.165,175.0,1.2,3,1
Ti16O16(OC2H5)32,3,Ti,6.82812,0.079,140.0,1.54,4,16
VCl3,1,V,6.746187,0.525,135.0,1.63,3,1
VO2,1,V,6.746187,0.525,135.0,1.63,4,1
Y(NO3)3,12,Y,6.21726,0.307,180.0,1.22,3,1
Yb(NO3)3,1,Yb,6.25416,-0.02,175.0,1.1,3,1
Zn(BF4)2,2,Zn,9.394199,-0.6,135.0,1.65,2,1
Zn(CF3SO3)2,2,Zn,9.394199,-0.6,135.0,1.65,2,1
Zn(CH3COO)2,44,Zn,9.394199,-0.6,135.0,1.65,2,1
Zn(ClO4)2,1,Zn,9.394199,-0.6,135.0,1.65,2,1
