file ID,file name short,doi,content
1,05acetylene,10.1038/nature03852,"Synthesis of Cu2(pzdc)2(pyz)·2H2O (hydrated complex 1). A mixture of Na2pzdc
(0.21 g, 1.00 mmol) and pyz (1.0 g, 12.5 mmol) dissolved in H2O/EtOH
(1:1, 100 ml) was slowly added to the H2O solution (100 ml) containing
Cu(ClO4)2·6H2O (0.37 g, 1.00 mmol) at room temperature. After stirring for
one day, the resultant precipitate was filtered, washed with H2O and methanol,
and dried under reduced pressure27. Elemental analysis for C16H12Cu2N6O10 is
as follows. Calculated: C, 33.40; H, 2.10; N, 14.61. Found: C, 32.78; H, 1.57; N,
14.34."
2,05RodPackings,10.1021/ja045123o,"""Synthesis of Compounds. Zn3(OH)2(BPDC)2â(DEF)4(H2O)2: MOF-69A. A solid mixture of Zn(NO3)2â6H2O (24.6 mg, 0.083 mmol) and 4,4¢-biphenyldicarboxylic acid (H2BPDC) (10 mg, 0.041 mmol) was dissolved in a 20 mL vial containing DEF (12 mL), 30% H2O2 (0.40mL), and CH3NH2 (0.20 mL, 70.3 mM in DMF). The mixture was allowed to stand in a capped vial for 7 d at room temperature. Colorless crystals of MOF-69A were collected and air-dried (21 mg, 86.1% yield based on H2BPDC). 
MOF-69B. A solid mixture of Zn(NO3)2â6H2O (24.6 mg, 0.083 mmol) and 2,6-naphthalenedicarboxylic acid (H2NDC) (8.9 mg, 0.041 mmol) was dissolved in a 20 mL vial containing DEF (12 mL), 30% H2O2 (0.40 mL), and CH3NH2 (0.20 mL, 70.3 mM in DMF). The mixture was allowed to stand in a capped vial for 7 d at room temperature. Colorless crystals of MOF-69B werecollected and air-dried (18 mg, 80.4% yield based on H2NDC). 
MOF-69C. In a 20 mL vial, a solidmixture of 1,4-benzenedicarboxylic acid (1,4-BDC) (33.0 mg, 0.199mmol) and Zn(NO3)2â6H2O (177 mg, 0.596 mmol) was dissolved inDEF (4.883 mL). Deionized H2O (0.117 mL) was added to the reactionsolution, and the vial was capped and heated for 15 h in a 100 °C isotemp oven. The vial, containing colorless rodlike crystals (67 mg,89% yield based on H2BDC), was removed from the oven while hot.The crystals were collected and washed with DEF (3 mL  3).
MOF-70. In a 20 mL vial, lead(II) nitrate (60 mg, 0.181 mmol) and 1,4-benzenedicarboxylic acid (H2BDC) (30 mg, 0.181 mmol) were dissolved in DMF (1 mL) and
then diluted with ethanol (9 mL). To this solution was added hydrogen peroxide aqueous solution (30%) (0.1 mL) to give a clear colorless
solution. Eight vials of this solution were placed along the perimeter of a big container. Triethylamine (0.4 mL) (TEA) was added to DMF (5 mL) and then placed in a vial in the center of the big container. The container was covered, and the TEA solution was allowed to diffuse into the solutions containing Pb(NO3)2 and H2BDC. After 1 week,
colorless crystals were produced, collected, and washed with ethanol and DMF mixed solution (90% ethanol, 10% DMF). The crystals became opaque upon exposure to air.
MOF-71. A solid mixture of Co(NO3)2â6H2O
(40 mg, 0.137 mmol) and 1,4-benzenedicarboxylic acid (23 mg, 0.137 mmol) was dissolved in DMF (1 mL) and absolute EtOH (0.25 mL). The sealed reaction tube was heated for 15 h in a 100 °C isotemp oven.
The tube, containing pink blocklike crystals and purple hexagonal
platelike crystals, was removed from the oven while hot. The mixture
of crystals was collected and washed with DMF (3 mL  3). The two
crystalline phases were separated by density (CHBr3/CH2Cl2), and the
pink blocklike crystals (17 mg, 84% based on H2BDC) were characterized.
MOF-72. A solid mixture of 1,3-benzenedicarboxylic acid (H2-1,3-BDC) (24 mg, 0.145 mmol) and Cd-
(NO3)2â4H2O (22.20 mg, 0.072 mmol) was dissolved in DMF (1 mL).
The resulting solution was transferred into a Pyrex tube by pipet. To
the solution was added a CH3NH2/H2O/DMF solution (0.1 mL) prepared
by diluting 40% aqueous CH3NH2 (1 mL) with DMF (50 mL). The
tube was frozen in a N2(l) bath, evacuated (200 mTorr), flame-sealed,
and heated to 140 °C at a rate if 5 °C/min for 50 h and then cooled to
room temperature at a rate of 2 °C/min. Colorless rod-shaped crystals
of the product were formed, collected, washed with DMF (3 mL  3),
and air-dried (24 mg, 31% based on H2-1,3-BDC).
MOF-73. A solid mixture of 1,4-benzenedicarboxylicacid (H2BDC) (17 mg, 0.102 mmol) and Mn(ClO4)2¥6H2O (108 mg, 0.298 mmol) was dissolved in DEF (2.0 mL). This solution
was decanted into a Pyrex tube which was then frozen in a N2(l) bath, evacuated (200 mTorr), flame-sealed, and heated for 48 h in a 100 °C
isotemp oven. The tube, containing colorless rhombus-shaped block
crystals, was removed from the oven while hot. The crystals were
washed with DEF (3 mL  3) and air-dried to yield pure product (7mg, 21.4% based on H2BDC).
 MOF-74. A solid mixture of 2,5-
dihydroxy-1,4-benzenedicarboxylic acid (H2-DHBDC) (0.019 g, 0.096
mmol) and zinc nitrate tetrahydrate, Zn(NO3)2â4(H2O) (0.053 mg, 0.203
mmol), was dissolved in DMF (2.0 mL), 2-propanol (0.1 mL), and
water (0.1 mL) and placed in a Pyrex tube which was then frozen in a
N2(l) bath, evacuated (200 mTorr), flame-sealed, and heated to 105 °C
at a rate of 2.0 °C/min for 20 h and then cooled to room temperature
at a rate of 2.0 °C/min. Yellow needle crystals were produced which
were dried in air after washing with DMF and ethanol (26 mg, yield
51% based on H2-DHBDC).
MOF-75. A solid mixture of Tb(NO3)3â5H2O (109 mg, 0.251 mmol) and 2,5-thiophenedicarboxylic acid (H2-
TDC) (11.5 mg, 0.067 mmol) was dissolved in DMF (1 mL). 2-Propanol
(1.5 mL) was added to the DMF solution. The resulting solution was
transferred with a pipet into a Pyrex tube, frozen in a N2(l) bath,
evacuated (200 mTorr), and flame-sealed. The sealed reaction tube was
heated to 85 °C at a rate of 2 °C/min for 15 h and then cooled to room
temperature at a rate of 2 °C/min to yield colorless polyhedral crystals
(30.6 mg, 84% based on H2TDC).
MOF-76. To a solvothermal vessel were added H3BTC (0.020 g, 0. 10 mmol), Tb(NO3)3â5H2O (0.120 g, 0.28
mmol), DMF (4 mL), ethanol (4 mL), and H2O (3.2 mL), respectively.
The vessel was sealed and heated to 80 °C at a rate of 2 °C/min for 24
h and then cooled to room temperature at a rate of 1 °C/min. Needlelike
colorless crystals of the product were formed and collected by filtration
(35 mg, 78% yield based on H3BTC). 
MOF-77. To a solvothermal vessel were added adamantane tetracarboxylic acid (H4ATC) (0.048 g, 0.15 mmol), Zn(NO3)2â
6H2O (0.140 g, 0.47 mmol), and H2O (4 mL), respectively. The vessel was sealed and heated to 185 °C at a rate of 5 °C/min for 40 h and then cooled to room temperature at a rate of 2 °C/min. Tetragonal colorless crystals of the product were formed and collected by filtration, yielding 0.058 g (86% yield based on H4ATC).
MOF-78. H2HPDC (0.018 g, 0.06 mmol) was dissolved in DMF (7.0 mL) and EtOH (2.0 mL). To
deprotonate the acid, 0.10 mL of a triethylamine/ethanol solution (5.0%
v/v) was added to the organic solution and sonicated (1 min). Co(NO3)2â
6H2O (0.060 g, 0.21 mmol) was dissolved in water (1.0 mL), which
was poured into the mixed solution, and the whole solution was mixed
using a sonicator (1 min). The resulting clear pink solution was placed
in a solvothermal vessel which was sealed and heated to 85 °C for 24
h and cooled to room temperature at a rate of 1.0 °C/min. Rectangular
pink crystals were produced which were dried in air after washing with
DMF and acetone (0.024 g, 77% based on one acid).
MOF-79. H2HPDC (0.018 g, 0.061
mmol) and Cd(NO3)2â4H2O (0.055 g, 0.18 mmol) were suspended in
water (2.0 mL), CH3OH (3.0 mL), and 1-cylcohexyl-2-pyrrolidinone
(CHP) (3.0 mL), and the resulting mixture was dispersed by sonication
(1 min). The heterogeneous mixture was placed in a solvothermal vessel
which was sealed and heated to 130 °C at a rate of 2.0 °C/min for 20
h and then cooled to room temperature at a rate of 2.0 °C/min.
Rectangular pale yellow crystals were produced which were dried in
air after washing with DMF and ethanol (0.026 g, yield 52% based
H2TPDC).
MOF-80. H2PDC (0.010 g, 0.034 mmol) and Tb(NO3)3â5H2O (0.056 g, 0.129 mmol) were
suspended in water (2.0 mL), ethanol (4.0 mL), and DMF (4.0 mL),
and the resulting mixture was dispersed by sonication (1 min). The
heterogeneous mixture was placed in a solvothermal vessel which was
sealed and heated at a rate of 2.0 °C/min to 80 °C for 24 h and then
cooled to room temperature at a rate of 1.0 °C/min. Rectangular pale
yellow crystals were produced which were dried in air after washing
with DMF and ethanol (0.013 g, 73% based on one acid)."""
3,07MIL101,10.1039/b718371b,"Synthesis of MIL-101 
A solution containing 6.00 g (15 mmol) Cr(NO3)3 · 9 H2O, 3.76 g (23 mmol), 1,4-benzene 
dicarboxylic acid (H2BDC), 0.75 ml of hydrofluoric acid (38-40 % in water) and 75 ml H2O 
was introduced in a 250-ml Teflon-liner. The mixture was placed in an autoclave and was 
heated to 493 K for 9 h. After cooling, the reaction mixture was filtered trough a large pore 
fritted glass filter (G 1) to eliminate excess of recrystallised terephthalic acid. The product 
was separated from water by using a small pore fritted glas filter (G 4). Finally, the solid was 
dried at 423 K, first in air for 4 h and at reduced pressure over night to obtain activated, fine 
powdered MIL-101."
4,07PdMOF5,10.1039/b706432b,"Synthesis of MOF-5.19 Zn(NO3)2?4H2O (8.3200 g,
31.824 mmol) and H2bdc (1.7600 g, 10.594 mmol) were
dissolved in DEF (100 cm3
). The solution was heated to 100 uC
in a Teflon-lined stainless-steel autoclave at a rate of
1.5 uC min21 for 20 h and then cooled to room temperature
at a rate of 0.5 uC min21
. The solutions were filtered off in
argon flow, and the clear block crystals were washed in DMF
and exchanged with dry CHCl3 thrice in three days. Finally,
the material was evacuated for 12 h to remove chloroform
molecules and stored in a glovebox"
5,08HighCapGas,10.1073/pnas.0804900105,"literature.
MOF-5: Zn4O(C8H4O4)3. Terephthalic acid (3 g, 2  102 mol) and
Zn(NO3)24H2O (14 g, 5.4  102 mol) were dissolved in 300 ml
of diethylformamide in a 500-ml jar with sonication. The jar was
capped tightly and placed in a 100°C oven for 3 days. The mother
liquor was decanted, and the large yellow crystalline product was
washed with diethylformamide and then HPLC-grade (pentenestabilized) chloroform. The product was immersed in chloroform, which was decanted and replaced with fresh chloroform
twice over 3 days. Product was evacuated to dryness and heated
under vacuum to 120°C for 17 h. The sample was backfilled and
stored under nitrogen. The Brunauer, Emmett, and Teller
(BET) surface area was measured to be 2,205 m2/g.
IRMOF-3: Zn4O(C8H5NO4)3. 2-Aminoterephthalic acid (5.96 g, 3.29 
102 mol) and Zn(NO3)24H2O (37.47 g, 1.43  101 mol) were
dissolved in 800 ml of diethylformamide in a 1-liter jar with
sonication. The jar was capped tightly and placed in a 100°C oven
overnight (15 h). The mother liquor was decanted, and the
large brown crystalline product was washed with diethylformamide and then HPLC-grade (pentene-stabilized) chloroform.
The product was immersed in chloroform, which was decanted
and replaced with fresh chloroform twice over 3 days. The
product was evacuated to dryness and heated under vacuum to
120°C for 23 h. The sample was backfilled and stored under
nitrogen. The BET surface area was measured to be 1,568 m2/g.
MOF-74: Zn2(C8H2O6). 2,5-Dihydroxyterephthalic acid (1.00 g,
5.05  103 mol) and Zn(NO3)24H2O (4.50 g, 1.72  102 mol)
were dissolved in 100 ml of dimethylformamide in a 400-ml jar
with sonication. Five milliliters of water were added, followed by
additional sonication. The jar was capped tightly and placed in
a 110°C oven for 20 h. The mother liquor was decanted, and the
yellow crystalline product was washed three times with dimethylformamide and then three times with methanol. The product
was immersed in methanol, which was decanted and replaced
with fresh methanol three times over 4 days. The product was
evacuated to dryness and heated under vacuum to 150°C 1 h,
held at 150°C for 10 h, heated to 265°C over 1 h, and held for 12 h.
The sample was backfilled and stored under nitrogen. The BET
surface area of the sample was measured to be 632 m2/g.
MOF-177: Zn4O(C27H15O6)2. Benzene-1,3,5-tris(4-benzoic acid) (2.0
g, 4.6  103 mol) and Zn(NO3)24H2O (7.2 g, 2.8  102 mol)
were dissolved in 200 ml of diethylformamide in a 500-ml jar. The jar was capped tightly and placed in a 100°C oven for 24 h. The
mother liquor was decanted, and the colorless crystalline product was washed with dimethylformamide and immersed in
HPLC-grade (pentene-stabilized) chloroform, which was decanted and replaced with fresh chloroform three times over 4
days. Solvent was decanted from the product, which was placed
in a Schlenk flask. The opening of the flask was cracked slightly
to vacuum (just enough to see a pressure change on the Schlenk
line) and left for 12 h. It was then opened slightly more and left
for 12 h. It was then opened fully to vacuum and left for 24 h at
room temperature. The sample was backfilled and stored under
nitrogen. The BET surface area of the sample was measured to
be 3,875 m2/g.
MOF-199: Cu2(C9H3O6)4/3. Trimesic acid (5.00 g, 2.38  102 mol)
and Cu(NO3)22.5H2O (10.01 g, 4.457  102 mol) were dissolved in 85 ml of dimethylformamide in a 400-ml jar by
sonication. Eighty-five milliliters of ethanol was added, followed
by sonication. Eighty-five milliliters of water was added, followed
by sonication. The jar was capped tightly and placed in an 85°C
oven for 24 h. Sky-blue powdered product was filtered, washed
with dimethylformamide and ethanol, and immersed in dichloromethane, which was decanted and replaced with fresh dichloromethane three times over 4 days. Product was evacuated to
dryness and heated under vacuum to 170°C until color was deep
purple (2 days). The sample was backfilled and stored under
nitrogen. The BET surface area of the sample was measured to
be 1,264 m2/g.
IRMOF-62: Zn4O(C18H8O4)3. Diacetylene-1,4-bis-(4-benzoic acid)
(20.28 g, 6.986  102 mol) and Zn(CH3CO2)22H2O (30.35 g,
1.383  101 mol) were stirred in 1.5 L of dimethylformamide
at room temperature for 10 h. Off-white powdered product was
filtered, washed with dimethylformamide and dichloromethane,
and immersed in dichloromethane. The product was filtered,
washed with dichloromethane, and immersed in dichloromethane daily for 3 days. The product was evacuated at room
temperature for 18 h and then at 150°C for 27 h. The sample was
backfilled and stored under nitrogen. The BET surface area of
the sample was measured to be 1,814 m2/g."
6,08ZIF100,10.1038/nature06900,"Synthesis of ZIF-95. A solid mixture of zinc(II) nitrate tetrahydrate (Zn(NO3)2?4H2O, 1.044 g, 4.0 mmol) and cbIM (C7H5N2Cl, 6.106 g, 40.0 mmol) was dissolved in 295 ml DMF and 5 ml H2O in a 500 ml container. The container was capped and heated at 120 uC for 72 h to give light yellow plate crystals. The reaction mixture was allowed to cool gradually to room temperature and crystals were washed with DMF and dried in air (yield: 1.103 g, 75% based on Zn(NO3)2?4H2O). Elemental microanalysis for Zn(cbIM)2 ; C14H8N4Cl2Zn1, calculated based on framework only (%): C, 45.63; H, 2.19; N, 15.20; Cl, 19.24; Zn, 17.74. Found (%): C, 46.06; H, 2.40; N, 14.38; Cl, 19.13; Zn, 18.17. FT-IR (KBr, 4,000–400 cm21 ): 3,426(br), 3,080(w), 2,935(w), 2,860(w), 1,671(vs), 1,612(m), 1,566(w), 1,475(vs), 1,393(m), 1,347(s), 1,291(s), 1,261(m), 1,240(m), 1,194(m), 1,130(w), 1,104(m), 1,067(m), 1,011(w), 930(m), 853(m), 807(s), 726(m), 655(m), 599(m), 488(m), 431(m). Synthesis of ZIF-100. Under a dry nitrogen atmosphere a solid mixture of zinc(II) trifluoromethanesulphonate (Zn(O3SCF3)2, 1.453 g, 4.0 mmol) and cbIM (6.103 g, 40.0 mmol) was dissolved in anhydrous DMF (270 ml) in a 500 ml container. Subsequently, H2O (5.8 ml) was added, the container capped and heated in an isothermal oven at 120 uC for 48 h to give dark yellow cubic crystals. The reaction mixture was allowed to cool naturally to room temperature and the crystals were washed with DMF and dried in air. Yield: 1.012 g, 70.5% based on Zn(O3SCF3)2. Elemental microanalysis for Zn20(cbIM)39(OH) ; C273H157N78O1Cl39Zn20, calculated based on framework only (%): C, 45.31; H, 2.19; N, 15.10; Cl, 19.11; Zn, 18.07. Found (%): C, 45.11; H, 2.18; N, 14.79; Cl, 19.19; Zn, 18.93. FT-IR (KBr, 4,000–400 cm21 ): 3,430(br), 3,080(m), 2,931(m), 2,860(w), 1,668(vs), 1,612(s), 1,576(m), 1,573(w), 1,475(vs), 1,437(m), 1,415(w), 1,342(s), 1,286(s), 1,256(m), 1,240(s), 1,195(s), 1,134(m),"
7,12AlPor,10.1002/anie.201202471,"1.1 Al-PMOF 1 Al2(OH)2(H2Porph)(guests)
100 mg (0.126 mmol) of 5,10,15,20-tetrakis(4-carboxyphenyl) porphyrin and 60 mg ( 0.25 mmol) of 
AlCl3·6H2O were introduced into 10 mL of deionised water. The suspension was stirred for 10 minutes at 
room temperature and then introduced into a 40 mL Teflon lined autoclave and heated at 180°C for 16 
hours. The solution was allowed to cool with a cooling rate 1.5°C per minute. The solid was recovered by 
centrifugation, washed 3 times with DMF (3 × 80 mL) and once with acetone (1 × 80 mL) in order to 
remove the unreacted porphyrin. After drying, the MOF was obtained as a red solid in a 42% yield (50 
mg of solid). As synthesized formula [AlOH]2(DMF3(H2O)2 calc: C 60.78 %, H 4.71% N 8.70% exp: C 
60.79% H 4.71% N 8.39%.
.
1.2 Al/Zn-PMOF 2
Heterogeneous zinc insertion into 1 was performed as follows:
50 mg of the activated Al-PMOF (170 °C under vacuum, overnight) was introduced in 5 mL of 0.04 M 
solution of anhydrous zinc acetate in DMF. The mixture was allowed to react at 100°C for 48 hours. The 
resulting solid was centrifuged (13400 rpm for 3 minutes) and then repeatedly washed and centrifuged in 
DMF, water (3 times) and acetone. After drying, a deep purple powder of 2 was obtained in 80% yield. 
The identity of the resulting compound 2 was confirmed by PXRD, EDX, UV-VIS and IR. The zinc 
insertion rate at the centre of the porphyrin was measured by SEM EDX and was found to be 90%. This 
agrees within experimental error with the quantity refined by synchrotron X-ray powder diffraction 
(98.6(12) %) as discussed in section 2 below"
8,12PCN124,10.1039/c2cc34622b,"PCN-124: To a mixed solvent of dimethylacetamide (DMA, 12 mL) and water (3 mL) in a 20 
mL scintillation vial was added H4PDAI (40 mg, 0.081 mmol), Cu(NO3)2·2.5H2O (120 mg, 
0.016 mmol), and HBF4 (48% in water, 30 drops). The vial was capped and allowed to sit in a 
75 °C oven for 2 days. Green block crystals of PCN-124 were collected (41 mg, 80 % yield) by 
filtration. IR: 3053, 1546, 1369, 1284, 1112, 908, 773, 734, 678, 601 cm-1. See Figure S7. 
Elemental analysis (% calc/found): C: 43.6/42.8 N: 6.6/5.0 H: 1.7/4.2. PXRD and TGA of PCN124 are shown below."
9,12Uio66,10.1021/la3035352,"Synthetic Procedures: 
Table S2. Organic Ligands and synthesis procedures used for each material
Material UiO-66 UiO-66-NO2 UiO-66-NH2 UiO-66-1,4-
Naph 
UiO-66-2,5-
(OMe)2
Image O OH
HO O
O OH
HO O
N
+
O
-
O
NH2
O OH
HO O
O OH
HO O
O
O
O OH
HO O
Chemical Name Terephthalic 
Acid 
2-NitroTerephthalic Acid 
2-AminoTerephthalic Acid 
1,4-Naphthalene 
Dicarboxylic Acid 
2,5-DimethoxyTerephthalic Acid 
Organic Linker 0.35 mmol 0.35 mmol 0.35 mmol 0.35 mmol 0.35 mmol
ZrCl4 0.35 mmol 0.35 mmol 0.368 mmol 0.35 mmol 0.35 mmol
DMF 4 mL 4 mL 4 mL 4 mL 4 mL
Acetic Acid 0 mL 0 mL 0 mL 0 mL 0.6 mL
Temperature 120 °C 120 °C 120 °C 120 °C 110 °C
Time 24 hr 24 hr 24 hr 24 hr 48 hr"
10,14Uio67bpy,10.1039/c4cc01607f,"Synthesis of UiO-67. ZrCl4 (24.5 mg, 0.105 mmol), glacial acetic acid (210 mg, 
3.5 mmol), and H2bpydc (4,4’-biphenyl-dicarboxylic acid) (26 mg, 0.105 mmol) were 
placed in a scintillation vial with 4 mL dimethylformamide (DMF). The solids were 
dispersed via sonication for ~10 mins, followed by incubation at 120 °C for 24 h. After 
cooling, solids were collected by centrifugation at 6500 rpm for 15 min in a fixed angle 
rotor, and the solvent was decanted. The solids were washed with DMF (2 × 10 mL), 
followed by soaking in methanol (MeOH) for 3 d, and the solution was exchanged with 
fresh MeOH (10 mL) every 24 h. After 3 d of soaking, the solids were collected via 
centrifugation and dried under vacuum (yield: 35 mg, 94 % based on Zr).
Synthesis of UiO-67-bpydc. ZrCl4 (24.5 mg, 0.105 mmol), glacial acetic acid 
(189 mg, 3.15 mmol), and H2bpydc (2,2’-bipyridine-5,5’-dicarboxylic acid) (26 mg, 
S3
0.105 mmol) were placed in a scintillation vial with 4 mL DMF. The solids were 
dispersed via sonication for ~10 mins, followed by incubation at 120 °C for 24 h. After 
cooling, solids were collected by centrifugation and the solvent was decanted. The solids 
were washed with DMF (2 × 10 mL), followed by soaking in methanol (MeOH) for 3 d, 
and the solution was exchanged with fresh MeOH (10 mL) every 24 h. After 3 d of 
soaking, the solids were collected via centrifugation and dried under vacuum (yield: 33 
mg, 88 % based on Zr).
Synthesis of UiO-67-bpydcx/bpdc1-x. Synthesis of mixed UiO-67-bpydcx/bpdc1-x
was synthesized with the same concentration (i.e. 0.105 mmol of ZrCl4 and 0.105 mmol 
of the total amount of organic ligands) and condition as UiO-67-bpydc, using an reactant 
solution with a molar ratio of x:(1-x):1:30 for H2bpydc/H2bpdc/ZrCl4/acetic acid in a 
scintillation vial with 4 mL DMF (Table S2). The solids were dispersed via sonication 
for ~10 mins, followed by incubation at 120 °C for 24 h. After cooling, solids were 
collected by centrifugation and the solvent was decanted. The solids were washed with 
DMF (2 × 10 mL), followed by soaking in MeOH for 3 d, and the solution was 
exchanged with fresh MeOH (10 mL) every 24 h. After 3 d of soaking, the solids were 
collected via centrifugation and dried under vacuum (yield: 35 mg, 94 % based on Zr)"
